,turns
1659,24
1660,29
1661,8
1662,11
1663,9
1664,15
1665,21
1666,10
1667,15
1668,24
1669,19
1670,21
1671,11
1672,44
1673,15
1674,9
1675,12
1676,15
1677,10
1678,32
1679,32
1680,7
1681,26
1682,17
1683,12
1684,23
1685,12
1686,9
1687,40
1688,9
1689,15
1690,13
1691,31
1692,9
1693,22
1694,27
1695,31
1696,22
1697,23
1698,11
1699,17
1700,14
1701,9
1702,21
1703,13
1704,16
1705,13
1706,17
1707,22
1708,17
1709,25
1710,23
1711,20
1712,24
1713,17
1714,15
1715,18
1716,16
1717,14
1718,10
1719,13
1720,12
1721,27
1722,16
1723,31
1724,19
1725,38
1726,16
1727,25
1728,10
1729,25
1730,9
1731,8
1732,12
1733,19
1734,22
1735,9
1736,12
1737,8
1738,18
1739,21
1740,18
1741,19
1742,22
1743,29
1744,18
1745,25
1746,14
1747,14
1748,22
1749,17
1750,15
1751,8
1752,26
1753,9
1754,14
1755,19
1756,20
1757,10
1758,14
1759,18
1760,20
1761,12
1762,15
1763,29
1764,13
1765,8
1766,11
1767,20
1768,13
1769,18
1770,16
1771,27
1772,11
1773,8
1774,12
1775,17
1776,13
1777,11
1778,12
1779,15
1780,16
1781,10
1782,13
1783,15
1784,13
1785,17
1786,20
1787,10
1788,12
1789,28
1790,22
1791,13
1792,17
1793,9
1794,16
1795,19
1796,22
1797,9
1798,24
1799,14
1800,18
1801,17
1802,13
1803,17
1804,12
1805,35
1806,8
1807,9
1808,32
1809,7
1810,14
1811,13
1812,24
1813,10
1814,10
1815,28
1816,20
1817,14
1818,16
1819,14
1820,7
1821,20
1822,12
1823,44
1824,16
1825,39
1826,12
1827,11
1828,20
1829,15
1830,17
1831,13
1832,17
1833,15
1834,20
1835,22
1836,20
1837,13
1838,12
1839,16
1840,21
1841,19
1842,15
1843,24
1844,34
1845,19
1846,33
1847,23
1848,14
1849,14
1850,17
1851,13
1852,27
1853,20
1854,18
1855,14
1856,25
1857,37
1858,13
1859,31
1860,16
1861,24
1862,14
1863,15
1864,13
1865,17
1866,15
1867,9
1868,17
1869,15
1870,18
1871,9
1872,13
1873,17
1874,24
1875,15
1876,18
1877,22
1878,24
1879,17
1880,23
1881,10
1882,20
1883,12
1884,14
1885,20
1886,12
1887,19
1888,28
1889,13
1890,34
1891,21
1892,20
1893,17
1894,20
1895,30
1896,17
1897,28
1898,23
1899,17
1900,29
1901,23
1902,9
1903,24
1904,15
1905,28
1906,17
1907,9
1908,20
1909,29
1910,29
1911,13
1912,19
1913,16
1914,15
1915,11
1916,26
1917,12
1918,35
1919,13
1920,19
1921,13
1922,21
1923,21
1924,17
1925,16
1926,14
1927,16
1928,21
1929,16
1930,21
1931,17
1932,16
1933,18
1934,26
1935,10
1936,11
1937,26
1938,22
1939,13
1940,28
1941,31
1942,15
1943,19
1944,9
1945,8
1946,24
1947,34
1948,24
1949,13
1950,18
1951,15
1952,11
1953,8
1954,11
1955,9
1956,10
1957,12
1958,25
1959,8
1960,20
1961,21
1962,15
1963,23
1964,13
1965,32
1966,19
1967,14
1968,11
1969,17
1970,15
1971,15
1972,14
1973,17
1974,12
1975,12
1976,9
1977,24
1978,12
1979,16
1980,17
1981,13
1982,16
1983,17
1984,19
1985,32
1986,15
1987,16
1988,10
1989,26
1990,17
1991,15
1992,12
1993,8
1994,18
1995,8
1996,17
1997,21
1998,24
1999,24
2000,13
2001,13
2002,11
2003,9
2004,24
2005,27
2006,28
2007,10
2008,23
2009,12
2010,12
2011,12
2012,14
2013,16
2014,21
2015,7
2016,24
2017,14
2018,15
2019,8
2020,24
2021,32
2022,17
2023,14
2024,18
2025,18
2026,24
2027,11
2028,23
2029,17
2030,20
2031,23
2032,24
2033,12
2034,18
2035,22
2036,12
2037,15
2038,8
2039,42
2040,20
2041,10
2042,19
2043,25
2044,16
2045,20
2046,13
2047,12
2048,30
2049,17
2050,9
2051,32
2052,13
2053,18
2054,25
2055,28
2056,14
2057,17
2058,15
2059,28
2060,23
2061,15
2062,20
2063,17
2064,20
2065,17
2066,23
2067,12
2068,29
2069,15
2070,18
2071,10
2072,19
2073,23
2074,21
2075,24
2076,11
2077,7
2078,13
2079,21
2080,27
2081,24
2082,9
2083,26
2084,24
2085,8
2086,20
2087,16
2088,9
2089,15
2090,12
2091,16
2092,20
2093,8
2094,16
2095,8
2096,18
2097,15
2098,20
2099,25
2100,13
2101,25
2102,22
2103,30
2104,24
2105,12
2106,12
2107,38
2108,10
2109,13
2110,10
2111,30
2112,15
2113,15
2114,27
2115,10
2116,24
2117,23
2118,13
2119,18
2120,23
2121,28
2122,19
2123,34
2124,26
2125,14
2126,24
2127,14
2128,14
2129,19
2130,12
2131,9
2132,23
2133,13
2134,22
2135,14
2136,16
2137,32
2138,23
2139,15
2140,11
2141,29
2142,16
2143,20
2144,17
2145,18
2146,10
2147,11
2148,27
2149,17
2150,10
2151,23
2152,12
2153,26
2154,16
2155,19
2156,12
2157,13
2158,21
2159,33
2160,11
2161,12
2162,8
2163,13
2164,13
2165,16
2166,10
2167,14
2168,35
2169,18
2170,11
2171,10
2172,13
2173,24
2174,25
2175,14
2176,27
2177,24
2178,21
2179,8
2180,18
2181,9
2182,23
2183,14
2184,28
2185,13
2186,27
2187,12
2188,32
2189,20
2190,9
2191,18
2192,13
2193,17
2194,18
2195,15
2196,15
2197,12
2198,18
2199,14
2200,8
2201,15
2202,26
2203,16
2204,8
2205,15
2206,18
2207,13
